,,,,
Column,Type,Collation,Nullable,Default
id,bigint,,not null,nextval('pixels_id_seq'::regclass)
log_dt,timestamp with time zone,,not null,
nid,integer,,not null,0
rec_type,character varying(4),,,
log_txnid,character varying(100),,,
internal_txn_id,character varying(500)[],,,
txn_cnt,integer,,,1
traffic_source_id,integer,,,0
publisher_id,integer,,,
internal_site_id,integer,,,
internal_adspace_id,integer,,,
zone_code,integer,,,
ip,character varying(50),,,
ref_bundle,character varying(16000),,,
domain,character varying(300),,,
subid,character varying(1000),,,
matched_cats,character varying(100)[],,,
matched_kw,character varying(100)[],,,
content_cats,character varying(100)[],,,
content_kw,character varying(100)[],,,
adx_custom,character varying(1000),,,
category_codes,character varying(100),,,
browser_code,integer,,,
os_code,integer,,,
carrier_code,integer,,,-1'::integer
make_id,integer,,,-1'::integer
model_id,integer,,,-1'::integer
ua,character varying(2000),,,
click_tracking_id,character varying(100)[],,,
advertiser_id,integer[],,,
campaign_code,integer[],,,
banner_code,integer[],,,
ad_format,integer[],,,
paytype,integer[],,,
rule_id,integer[],,,
advertiser_spend,"numeric(20,5)[]",,,
publisher_payout,"numeric(20,5)[]",,,
bid_amount,"numeric(10,5)[]",,,
data_cost,"numeric(10,5)[]",,,
data_revenue,"numeric(10,5)[]",,,
list_id,integer[],,,
total_ads,integer,,,
media_type,character varying(10),,,
userid,character varying(100),,,
conversion_payout,"numeric(10,5)",,,
ae_endpoint_codes,integer[],,,
ae_response_codes,integer[],,,
ae_response_bids,"numeric(10,5)[]",,,
country_code,character varying(5),,,
geo_city_name,character varying(300),,,
geo_dma_code,integer,,,0
geo_region_name,character varying(200),,,
geo_timezone,character varying(50),,,
geo_country_code2,character varying(50),,,
geo_region_code,character varying(50),,,
geo_continent_code,character varying(50),,,
geo_latitude,character varying(50),,,
geo_longitude,character varying(50),,,
geo_postal_code,character varying(50),,,
geo_country_code3,character varying(50),,,
geo_country_name,character varying(300),,,
external_userid,character varying(100),,,
external_txn_id,character varying(100),,,
external_site_id,character varying(100),,,
external_adspace_id,character varying(100),,,
billing_status,character varying(1),,,B'::character varying
fraud_status,character varying(1),,,N'::character varying
platform_id,integer,,,0
